,MSE,CRPS,pred_len,dataset
0,0.975946843624115,0.3088519790348701,96,electricity
0,1.0198033332824707,0.3187807340574623,192,electricity
0,1.0349539995193482,0.3235908767134778,336,electricity
0,1.0722790718078614,0.3351559090623107,720,electricity
0,0.7132176756858826,0.350878522899395,96,ETTh1
0,0.9948651671409607,0.4249877015700105,192,ETTh1
0,1.1601950407028199,0.4699723622727953,336,ETTh1
0,1.5423994779586792,0.5577090631190672,720,ETTh1
0,0.5898138999938964,0.2698097346753397,96,ETTh2
0,0.7124938249588013,0.3036101158603801,192,ETTh2
0,0.799167799949646,0.3311243209236546,336,ETTh2
0,0.7790054321289063,0.33864324416934843,720,ETTh2
0,0.7158705115318298,0.3603690259143197,96,ETTm1
0,1.0586178660392762,0.4476335673097539,192,ETTm1
0,1.4130505561828612,0.5279081874427894,336,ETTm1
0,1.69842586517334,0.5872291141781132,720,ETTm1
0,0.5488479137420654,0.2637451866971883,96,ETTm2
0,0.7819122076034546,0.33156451620559724,192,ETTm2
0,1.0376278638839722,0.39371833805936485,336,ETTm2
0,1.2061641693115235,0.436934270790419,720,ETTm2
0,2.572203779220581,0.6203067065352414,96,exchange_rate
0,3.6720956325531007,0.7747528554408928,192,exchange_rate
0,3.1309531211853026,0.7095292423996478,336,exchange_rate
0,2.226445531845093,0.592441676664873,720,exchange_rate
0,1.9428553342819215,0.4529389128505759,96,traffic
0,1.9588844537734986,0.455241040741943,192,traffic
0,1.9653714418411254,0.45793993570609237,336,traffic
0,1.997855305671692,0.46545049666302346,720,traffic
0,0.511072438955307,0.2645819627708804,96,weather
0,0.6596505165100097,0.30492397821000133,192,weather
0,0.7586763024330139,0.3313130419196361,336,weather
0,0.8325933694839478,0.35059625332337224,720,weather
